iter	Passed	Remaining
0	0	745
1	1	688
2	2	669
3	2	652
4	3	650
5	3	641
6	4	635
7	5	635
8	5	631
9	6	626
10	6	623
11	7	619
12	8	619
13	8	615
14	9	611
15	9	607
16	10	604
17	11	600
18	11	598
19	12	596
20	12	594
21	13	592
22	13	589
23	14	587
24	15	585
25	15	584
26	16	582
27	16	580
28	17	578
29	17	576
30	18	575
31	18	574
32	19	572
33	20	571
34	20	570
35	21	569
36	21	567
37	22	566
38	22	564
39	23	563
40	24	562
41	24	562
42	25	560
43	25	559
44	26	558
45	26	557
46	27	556
47	28	555
48	28	554
49	29	553
50	29	553
51	30	552
52	30	551
53	31	550
54	32	549
55	32	548
56	33	549
57	33	549
58	34	548
59	34	547
60	35	546
61	36	545
62	36	545
63	37	544
64	37	543
65	38	542
66	38	541
67	39	537
68	39	536
69	40	535
70	40	534
71	41	533
72	41	532
73	42	532
74	43	531
75	43	530
76	44	529
77	44	528
78	45	528
79	45	527
80	46	526
81	46	525
82	47	526
83	48	525
84	48	523
85	49	523
86	49	520
87	50	520
88	50	519
89	51	519
90	51	518
91	52	517
92	53	517
93	53	516
94	54	516
95	54	515
96	55	514
97	55	514
98	56	513
99	57	513
100	57	512
101	57	509
102	58	508
103	58	508
104	59	507
105	60	506
106	60	506
107	61	505
108	61	504
109	62	504
110	62	503
111	63	503
112	64	502
113	64	501
114	65	501
115	65	499
116	66	499
117	66	498
118	67	497
119	67	496
120	68	495
121	68	495
122	69	492
123	69	492
124	70	491
125	70	490
126	71	490
127	71	488
128	72	487
129	72	487
130	73	486
131	73	486
132	74	485
133	75	484
134	75	484
135	76	483
136	76	483
137	77	482
138	77	481
139	78	481
140	78	480
141	79	480
142	79	479
143	80	478
144	81	478
145	81	477
146	82	477
147	82	476
148	83	476
149	83	475
150	84	474
151	85	474
152	85	473
153	86	473
154	86	472
155	87	472
156	87	471
157	88	471
158	89	470
159	89	470
160	90	469
161	90	469
162	91	468
163	91	468
164	92	467
165	92	467
166	93	466
167	94	466
168	94	465
169	95	464
170	95	464
171	96	463
172	96	463
173	97	462
174	98	462
175	98	461
176	99	461
177	99	460
178	100	460
179	100	459
180	101	457
181	101	457
182	102	456
183	102	456
184	103	455
185	104	455
186	104	454
187	105	454
188	105	453
189	106	453
190	106	452
191	107	451
192	107	451
193	108	450
194	109	450
195	109	449
196	110	449
197	110	448
198	111	448
199	111	447
200	112	447
201	113	446
202	113	446
203	114	445
204	114	444
205	115	444
206	115	443
207	116	443
208	116	442
209	117	442
210	118	442
211	118	441
212	119	440
213	119	440
214	120	439
215	121	439
216	121	438
217	122	438
218	122	437
219	123	436
220	123	436
221	124	435
222	124	435
223	125	434
224	126	434
225	126	433
226	127	432
227	127	432
228	128	431
229	128	431
230	129	430
231	129	429
232	130	429
233	131	429
234	131	428
235	132	428
236	132	427
237	133	427
238	133	426
239	134	425
240	135	425
241	135	424
242	136	424
243	136	423
244	137	423
245	137	422
246	138	422
247	139	421
248	139	420
249	140	420
250	140	419
251	141	419
252	141	418
253	142	417
254	142	417
255	143	416
256	143	416
257	144	415
258	145	415
259	145	414
260	146	413
261	146	413
262	147	412
263	147	412
264	148	411
265	148	411
266	149	410
267	150	409
268	150	409
269	151	408
270	151	408
271	152	407
272	152	407
273	153	406
274	153	405
275	154	405
276	155	404
277	155	404
278	156	403
279	156	403
280	157	402
281	157	402
282	158	401
283	159	400
284	159	400
285	160	399
286	160	399
287	161	398
288	161	398
289	162	397
290	162	397
291	163	396
292	164	395
293	164	395
294	165	394
295	165	394
296	166	393
297	166	393
298	167	392
299	167	391
300	168	391
301	169	390
302	169	390
303	170	389
304	170	388
305	171	388
306	171	387
307	172	387
308	172	386
309	173	386
310	174	385
311	174	385
312	175	384
313	175	384
314	176	383
315	176	382
316	177	382
317	177	381
318	178	381
319	179	380
320	179	379
321	180	379
322	180	378
323	181	378
324	181	377
325	182	377
326	182	376
327	183	375
328	184	375
329	184	374
330	185	374
331	185	373
332	186	373
333	186	372
334	187	372
335	188	371
336	188	370
337	189	370
338	189	369
339	190	369
340	190	368
341	191	368
342	191	367
343	192	367
344	193	366
345	193	365
346	194	365
347	194	364
348	195	364
349	195	363
350	196	363
351	196	362
352	197	361
353	198	361
354	198	360
355	199	360
356	199	359
357	200	359
358	200	358
359	201	358
360	201	357
361	202	356
362	203	356
363	203	355
364	204	355
365	204	354
366	205	353
367	205	353
368	206	352
369	206	352
370	207	351
371	208	351
372	208	350
373	209	350
374	209	349
375	210	348
376	210	348
377	211	347
378	211	347
379	212	346
380	213	346
381	213	345
382	214	344
383	214	344
384	215	343
385	215	343
386	216	342
387	216	342
388	217	341
389	218	341
390	218	340
391	219	339
392	219	339
393	220	338
394	220	338
395	221	337
396	221	336
397	222	336
398	222	335
399	223	335
400	224	334
401	224	334
402	225	333
403	225	333
404	226	332
405	227	332
406	227	332
407	228	331
408	229	331
409	229	330
410	230	330
411	231	330
412	232	329
413	232	329
414	233	329
415	234	329
416	235	328
417	235	328
418	236	327
419	237	327
420	237	327
421	238	326
422	239	326
423	239	325
424	240	325
425	241	324
426	241	324
427	242	324
428	243	323
429	243	323
430	244	322
431	245	322
432	245	321
433	246	321
434	247	320
435	247	320
436	248	320
437	248	319
438	249	318
439	250	318
440	251	318
441	251	317
442	252	317
443	253	316
444	253	316
445	254	315
446	255	315
447	255	315
448	256	314
449	257	314
450	257	313
451	258	313
452	259	313
453	259	312
454	260	312
455	261	311
456	261	311
457	262	310
458	263	310
459	263	309
460	264	308
461	264	308
462	265	307
463	265	307
464	266	306
465	267	306
466	267	305
467	268	304
468	268	304
469	269	303
470	269	303
471	270	302
472	270	301
473	271	301
474	272	300
475	272	300
476	273	299
477	273	298
478	274	298
479	274	297
480	275	297
481	275	296
482	276	295
483	276	295
484	277	294
485	278	294
486	278	293
487	279	292
488	279	292
489	280	291
490	280	291
491	281	290
492	281	290
493	282	289
494	283	288
495	283	288
496	284	287
497	284	287
498	285	286
499	285	285
500	286	285
501	287	284
502	287	284
503	288	283
504	288	283
505	289	282
506	289	281
507	290	281
508	291	280
509	291	280
510	292	279
511	292	278
512	293	278
513	293	277
514	294	277
515	294	276
516	295	276
517	296	275
518	296	274
519	297	274
520	297	273
521	298	273
522	298	272
523	299	272
524	300	271
525	300	270
526	301	270
527	301	269
528	302	269
529	302	268
530	303	267
531	303	267
532	304	266
533	305	266
534	305	265
535	306	265
536	306	264
537	307	263
538	307	263
539	308	262
540	308	262
541	309	261
542	310	260
543	310	260
544	311	259
545	311	259
546	312	258
547	312	258
548	313	257
549	313	256
550	314	256
551	315	255
552	315	255
553	316	254
554	316	254
555	317	253
556	317	252
557	318	252
558	319	251
559	319	251
560	320	250
561	320	249
562	321	249
563	321	248
564	322	248
565	322	247
566	323	246
567	323	246
568	324	245
569	325	245
570	325	244
571	326	244
572	326	243
573	327	242
574	327	242
575	328	241
576	329	241
577	329	240
578	330	240
579	330	239
580	331	238
581	331	238
582	332	237
583	332	237
584	333	236
585	334	236
586	334	235
587	335	234
588	335	234
589	336	233
590	336	233
591	337	232
592	337	231
593	338	231
594	339	230
595	339	230
596	340	229
597	340	229
598	341	228
599	341	227
600	342	227
601	343	226
602	343	226
603	344	225
604	345	225
605	345	224
606	346	224
607	347	223
608	347	223
609	348	222
610	348	222
611	349	221
612	350	221
613	350	220
614	351	220
615	352	219
616	352	219
617	353	218
618	354	217
619	354	217
620	355	216
621	355	216
622	356	215
623	357	215
624	357	214
625	358	214
626	358	213
627	359	212
628	360	212
629	360	211
630	361	211
631	361	210
632	362	210
633	362	209
634	363	208
635	364	208
636	364	207
637	365	207
638	365	206
639	366	206
640	366	205
641	367	204
642	367	204
643	368	203
644	369	203
645	369	202
646	370	201
647	370	201
648	371	200
649	371	200
650	372	199
651	372	199
652	373	198
653	374	197
654	374	197
655	375	196
656	375	196
657	376	195
658	376	195
659	377	194
660	378	193
661	378	193
662	379	192
663	379	192
664	380	191
665	380	190
666	381	190
667	381	189
668	382	189
669	383	188
670	383	188
671	384	187
672	384	186
673	385	186
674	385	185
675	386	185
676	387	184
677	387	184
678	388	183
679	388	182
680	389	182
681	389	181
682	390	181
683	391	180
684	391	180
685	392	179
686	392	178
687	393	178
688	393	177
689	394	177
690	394	176
691	395	176
692	396	175
693	396	174
694	397	174
695	397	173
696	398	173
697	399	172
698	399	172
699	400	171
700	400	170
701	401	170
702	401	169
703	402	169
704	403	168
705	403	168
706	404	167
707	404	166
708	405	166
709	405	165
710	406	165
711	406	164
712	407	163
713	407	163
714	408	162
715	409	162
716	409	161
717	410	161
718	410	160
719	411	159
720	411	159
721	412	158
722	413	158
723	413	157
724	414	157
725	414	156
726	415	155
727	415	155
728	416	154
729	417	154
730	417	153
731	418	153
732	418	152
733	419	151
734	419	151
735	420	150
736	421	150
737	421	149
